nodeIdx,nodeId,topic,target,found,foundRegistrant,foundExtra,timeToFirstMs,timeToCompletionMs,hitTimeout,recall
0,e67236f724f8825b41942976e5ff04932a2f93a0afdcead2bcb1b5d26273df55,4,39,39,39,0,213.152917,1080.581458,0,1.0
1,b677b68ba2a9dd63b5234f58bad795d266f5864c033ddb6940152b46c65b4869,2,73,73,73,0,63.58225,24384.659916,0,1.0
2,8c27d53640d89e2178c4d7eff404bdc9953581eecd663a4668d0ddb488352db9,0,211,204,204,0,62.5055,180000.562,1,0.966824644549763
3,b9cda3d67f4f57622dc979b037b5c7f79629b7310a459ffc0edf147c67f1ab56,0,211,156,156,0,63.163167,180000.586875,1,0.7393364928909952
4,e17f789b9af538c724e4e82a6a40b7e1ef88065c39351e83c852d3af7c4b5a8e,0,211,152,152,0,64.822417,180000.506208,1,0.7203791469194313
5,ad234bf1656e6ff3a4dc4d7e9736cfa9cb8212316229bb18c64316fd340ec775,2,73,73,73,0,293.096583,2046.099167,0,1.0
6,b901571d216b24dbc9746c015fb16b8a2a61990ec9dba206774ca5deda1055cd,0,211,114,114,0,63.485584,180000.568084,1,0.5402843601895735
7,5409dbc2468407d9dc625c69c4764d4d7b0ad804d58c1683122fa9912938b0df,1,105,105,105,0,63.317542,2998.475375,0,1.0
8,793ba3c1e2e20254016680b7b7930c0ad8a3a663e9324cd046c51118258d5a59,2,73,73,73,0,65.16025,2055.811458,0,1.0
9,3a468915f1baedd74e2b22d0b021edac113d9414ec302c5e8b87341b089c5530,1,105,102,102,0,73.061208,180000.591917,1,0.9714285714285714
10,9ece629156c7b0530c6ef8b35e4d0e5c6494e93393086e9cd42ec29368fba256,2,73,73,73,0,210.248125,1802.845125,0,1.0
11,355ff6de92f7f59c61501b32c6a51e1e6481d5932d93c5741e16056c9ce62382,4,39,39,39,0,68.445167,1316.00925,0,1.0
12,8c6eb0437de000885e4696e177f013fa32a33ffc45a99bc3e02e2196d627c104,3,67,67,67,0,74.500208,1805.112875,0,1.0
13,e10f2704c15061493cd5fb808f7ef1778f490ceb5f97eff38c8620ea8aef9ed9,4,39,39,39,0,213.89125,1407.162916,0,1.0
14,86ae6a60613c45cd615d7f69db93a6b6e35ff44614d515cf0a6329a8d93fbcbf,0,211,183,183,0,69.696833,180000.639208,1,0.8672985781990521
15,9e955b9147b50987dd81082c3f8e3e09b002b2eae31a52840bc3bed3a3f35f98,2,73,73,73,0,144.772625,1928.962667,0,1.0
16,db91ce86b8307a0872198843c9e9acafa5e3f503bfd5c11d9219dc36124558ba,1,105,105,105,0,62.766208,2283.421208,0,1.0
17,8c45460d722825da56a6e9f4653f38e7cbb98e7a07e633fe000b89584b3e875c,0,211,203,203,0,63.444917,180000.253667,1,0.9620853080568721
18,4c151c74dabb3438e5b6e06c8f28715fa2c1ea3684a54b8f710e366b60134592,1,105,105,105,0,64.174459,2332.979334,0,1.0
19,8e3d49cd98fbbba004eabc1845e3dbba7b26d202efa779d87939fdccf7b552b5,1,105,105,105,0,63.383417,2610.968709,0,1.0
20,dedada73fc100af049d7d448f4f70f669b15c0bc3ec050385a824129e4e48454,3,67,67,67,0,64.589666,1203.770708,0,1.0
21,b70c5aa3b03a308fea9d4e3de71e9b16b9e605ad5b1232cf6a4d000eb11decfd,0,211,204,204,0,62.392083,180000.040916,1,0.966824644549763
22,1b84d7c60c9b7ce64610d4764105a46ee7c1a329886fa777f1e76bd306f05baf,1,105,105,105,0,63.315416,2411.381666,0,1.0
23,0c8cf4f88806fdf2c4d91df1cdc3a6fc661852564856f324282055922858892c,3,67,67,67,0,63.50525,2719.11325,0,1.0
24,08953445bc6482c7f04298165c1b625d19eb638369b7c7c4d04522fed2cb2871,0,211,207,207,0,64.194292,180000.033208,1,0.981042654028436
25,0c3957596f5e36123317e0eb2b440a3ce5e544da0a4133c4dd36d328b38423be,3,67,67,67,0,69.036834,1063.1925,0,1.0
26,9d3e4768cd0231bf333ba429c28e17f5946642e2b9949f55c63c2501c0e1179b,0,211,209,209,0,65.138333,180000.083,1,0.990521327014218
27,bc12cb4658a2515227a07c67ea3269450994d79c75a9d88b84da8ef9c541b71b,3,67,67,67,0,65.374125,1388.453292,0,1.0
28,935b1b0ef0837b7da5ed750c4f988b782ffa8411b571c91ddf1382c88f7491b4,2,73,73,73,0,65.056542,2816.432792,0,1.0
29,453cc4df523733acd82e0ff454006b097efe2f2b57d880144ee2d79d095a49bf,0,211,205,205,0,70.250375,180000.058625,1,0.9715639810426541
30,01159648fa770c15141e60dcf4431feaad63baa24fc24e3927a715eb0d15200a,0,211,205,205,0,62.534291,180000.086625,1,0.9715639810426541
31,86a80c6db3e2eba0cedc9fdb3617f757ba022799704d649940e82c61a1ae1a68,3,67,67,67,0,63.478875,1618.9745,0,1.0
32,24c4833370dc1fb5611d3d78bae373b65ae78fdaedf95c14b57bc2df6955633a,2,73,73,73,0,63.378875,2925.874041,0,1.0
33,073cfd5c6a47a582429ae554ba431886a8dba4785347ccb97bce7006c4877e21,2,73,73,73,0,63.22425,2284.831959,0,1.0
34,a67e8cda2497a0a708a38b2205e84bdf67e2f70bbd90a2af1e8bed197a4c2db4,1,105,105,105,0,63.8615,1970.199542,0,1.0
35,291c181c0e8367f12577d54806545e13b56179200c5fe6bed9a09e7a70af62d9,3,67,67,67,0,67.783125,1772.985625,0,1.0
36,49d99e31dd991f06055fdfcc2d5d382c796d9c8f53fb97dd0ee85d05ff99a528,1,105,105,105,0,64.476333,2232.615166,0,1.0
37,0fdc4a946ff853575a29ac51941fb6a2c7e27b35908d758afe6d9fa8028d692f,0,211,205,205,0,66.107417,180000.111167,1,0.9715639810426541
38,32647b0864bb6c2ee44ea11f3b356e95360d9ef02001d987788bc60ea0210a37,0,211,201,201,0,65.818,180000.059917,1,0.95260663507109
39,e6f0cd08a61966f6f5011574f2f2cfca31419844de1bfad019915574c769b996,4,39,39,39,0,65.749416,1109.498708,0,1.0
40,dd59e02f934e98077792213b5d74d9c4a0a36c5379c7daf9a20efd51758f71ff,3,67,67,67,0,62.774083,1645.197291,0,1.0
41,af3dd6eafb31d23bb3aefa723b76e43ceffd189cff6d133edf8e73704ca4eee9,1,105,102,102,0,64.074167,180000.084459,1,0.9714285714285714
42,22b86d26485afac0be823a644134009508ee4bf4302ef9486344a671b856ea32,1,105,105,105,0,64.849958,3107.018792,0,1.0
43,6e74d337c9eb3e3603b77bc1175b955c2700eb551d1f9987518f73c6de41ff71,1,105,105,105,0,65.521833,2916.043916,0,1.0
44,efa83ac7a513249b82e8f992a6cc1398c280f89b985b65afe3c900d7fb5d1220,3,67,67,67,0,65.64225,1869.931166,0,1.0
45,3bc2901447d3c50a1cf5ab98c0c5f7081e1ca5c5294804ac0f1d3fc7e84c7dd6,0,211,204,204,0,65.09825,180000.062417,1,0.966824644549763
46,25ffd0c1e46e4e05f47f1d9ff6f8a192f1bcfe16ae7f751ee81617ac9f89ffdb,1,105,105,105,0,66.384792,2509.105167,0,1.0
47,6a9fa0091eb7e61b34999b1339a06a99dab074a31586c2332f0ca753a0f991fb,3,67,67,67,0,62.745958,1871.2055,0,1.0
48,00dded70844565905b93452f7cd2d0530b40935cb2261633e9d94295f284eebc,3,67,67,67,0,64.123875,1907.592084,0,1.0
49,597cd2c9cabf646bf7ecfd3f3945bd1a37ffd3d4b6e2bd29a0bfe6f4f2b9b445,2,73,73,73,0,64.659041,2471.402375,0,1.0
50,eb9825b76ad6c3f5b619aea239cd64ebfe31526b11714836d1482135efdce898,1,105,104,104,0,65.790417,180000.072125,1,0.9904761904761905
51,13f1ac27f97308b9ead611d584357ab591cd1f932858768a0c46c5a2ab6971e5,2,73,73,73,0,67.055625,2055.063417,0,1.0
52,6757c46fb51da1f39eceb35772e399eeb2a810a4a436157cc1340193347af04f,0,211,208,208,0,70.945375,180000.106541,1,0.985781990521327
53,92242a88c3cf24f57f6111dc8d6e5c6ebca82591702c4686b5a1645eae80b776,0,211,187,187,0,73.8585,180000.075417,1,0.8862559241706162
54,2041dc0963a2344e38fbc05ff9ec81918d43ae7e5e174bc204f0ecb78ebfa63a,2,73,73,73,0,73.943208,1771.553791,0,1.0
55,7dd1660d0f7f3c158d1cc3e960e4237ce0a686120e5c5f1842ae68061b090337,0,211,204,204,0,77.65225,180000.051709,1,0.966824644549763
56,a7d2bf916903122e38b50571f1b1a3d5231425870b64fd7ea6037f1ea5b79f49,2,73,73,73,0,76.201875,1586.824583,0,1.0
57,97b7c8d1d152c975f22f40bc467f15776876cdee41ee98bd0900d2336fe7fefa,1,105,105,105,0,75.485709,1840.1625,0,1.0
58,69363a07110f3daf2afb28f6297f0b679a7e6a45029167ef512bb6733b551885,0,211,205,205,0,96.5675,180000.036416,1,0.9715639810426541
59,32e7ca1483262f19d073d728c80f47fc394eb78ddee68e1226215a42c47c72cb,1,105,105,105,0,91.279208,2673.92825,0,1.0
60,57e2a45eb9d6cde81b276599feb399df8f46d3fe4cd62bfd25f4298c04db7774,3,67,67,67,0,96.582292,1527.922417,0,1.0
61,ddaadd273e19b1d4be31aa79c1cc2f216f5e9a84d6cef2c1903cc2b034b1cdf5,1,105,104,104,0,66.840333,180000.085958,1,0.9904761904761905
62,a6d90bf3ce429bff8d849acde114c7ae80bafadb424177c7fae92df0ac98f638,1,105,105,105,0,67.14,2417.77225,0,1.0
63,c2beed0434b07ddce003ccc783776d765644c288fd887a93929ca8e21feab447,0,211,199,199,0,69.970958,180000.074375,1,0.943127962085308
64,07680a89927183e12a892b09f297b0e709f7dcb191198ed00ed2b89af87d9381,0,211,202,202,0,73.262542,180000.01825,1,0.957345971563981
65,bd37834dafc3c3db681028c4b0d290d19e62bc9b51223781281e34f25c1bc7ab,1,105,105,105,0,69.441834,2258.143834,0,1.0
66,9f2ef876cc42cf466489208a433249b3dea3d1142c309e78d0c65e48299a99fc,3,67,67,67,0,70.3,1301.31025,0,1.0
67,2143c7ccdc92200fdbe8b3255c105badcd94d81e67b158975e37f8d3e952c3bc,1,105,105,105,0,74.573125,2837.768667,0,1.0
68,a852270f43197b52fbc2dbe117e9e1534601cb3bc40326651ae46f5807905983,2,73,73,73,0,74.092416,1960.347958,0,1.0
69,cf89abfe66f67818202609ec2abb1755dd021d89a0e6f0e944f33ebcaf117a59,3,67,67,67,0,74.86925,1536.473042,0,1.0
70,3680e1250f1938ec50403d7df93b4e931288e7119417436a120a3c793573e080,3,67,67,67,0,73.886459,2634.171584,0,1.0
71,94123e13d3cf96c3e6cae259594131bd2d778fa4505ecfe86d1546862fb3d4fa,4,39,39,39,0,74.936625,1230.28475,0,1.0
72,ef341459d4c9829187e38b74ffdf003521dc7347068cd7e59592b7af1c732efd,0,211,139,139,0,86.272291,180000.132291,1,0.6587677725118484
73,380a750145ccd384874ef3de2fef63983eddcd3c9ded2e3bde0e7c4073b88438,0,211,209,209,0,85.071125,180000.147875,1,0.990521327014218
74,3873ab958b1b9ff0a50db7d871e851dd45e538521809b8142fd7f35381affd34,3,67,67,67,0,86.189625,1983.942541,0,1.0
75,e7b25e7c4425767720eacab4ae037ce7784451f1fbab08fc823d5d3e556686c1,0,211,171,171,0,91.263625,180000.129416,1,0.8104265402843602
76,c9e115acfea9d1fb64f15488a044ce6ae01bc26d4f8ec938952e5e57b812f430,0,211,205,205,0,83.480792,180000.067584,1,0.9715639810426541
77,9b761cb87ca5f2d1fc7b30cdf32b719524eac08a25053f210e0087a194f89b5d,1,105,105,105,0,88.478417,1712.768334,0,1.0
78,f53f3984a5b0cc5209be3b019b144842a71b4504a0b6facf16cd57ad00070bdf,2,73,73,73,0,87.892542,2110.976584,0,1.0
79,f465160b2389f42727cb6f498ea96d98c2f13c6e0a130cbd3c6a1ebc26f6138c,0,211,205,205,0,98.449584,180000.049875,1,0.9715639810426541
80,a1d324a1bde6eb5000197da88fd39ebe6132f7eed7e14f5468d67790402c7916,4,39,39,39,0,87.75975,875.746459,0,1.0
81,31046199395bafc721058ae2c3de31ff097bde31636e6f53f430503c2bed326c,3,67,67,67,0,99.127667,1734.463834,0,1.0
82,fdb688cfe97d24cfd1b8da0711d0e24c8ed0169b29f467ec6c9289cdc7e25923,1,105,105,105,0,86.570834,2807.851542,0,1.0
83,526da7f33f031a50fb40d079fa7aa1ea8b9042623425908b3c9c428aca3099ca,2,73,73,73,0,98.511417,1418.091833,0,1.0
84,a2d17ae46d0d904f23d13cef408faaaa65c16c99fb0850fe1f3a397f3c65e9d8,2,73,73,73,0,95.138625,2240.284709,0,1.0
85,1342a2c501989639a8a8b4e2e02e71ae1bf3838b646d22f6a204efc0d93571dd,1,105,105,105,0,98.705125,2185.486083,0,1.0
86,aa83e5e94dc6ae72d10d9589898e64929cb9d17b860f8d62b2a2f5c70baeb9ec,0,211,203,203,0,98.971042,180000.156208,1,0.9620853080568721
87,509db924eb6746742715412815bfee777a0d3908fb8cafd08f9432adf2f5a138,2,73,73,73,0,97.320541,2001.849875,0,1.0
88,f7d7336e9ef3c9cda0108917fb35c2ab7bdec80d4759bf573c02262affad8d68,0,211,176,176,0,102.194958,180000.124917,1,0.8341232227488151
89,e215351024504dc469862e9ca000dd4f54a6e83605bfbdcaf6473505e719aa9f,1,105,105,105,0,98.0885,2383.521625,0,1.0
90,0ef09ee4098668b1e9adb09d40f55d4f5c50cec35349e422525dbd2298072e0b,0,211,202,202,0,99.845459,180000.08125,1,0.957345971563981
91,7bd5985adb9de276ec1c2218f6ad0a025884101cc567c509b33a657b3b194085,3,67,67,67,0,100.544125,1846.376208,0,1.0
92,569033db78086d10c16c18ec5ff8ed454125eec857c858b14cc814222c0e2aaf,0,211,207,207,0,103.692083,180000.072125,1,0.981042654028436
93,6ae0cadc0312a5fe18b9f5ff517ebff27da3bbaabd38e93801adaacc74fa7d3c,4,39,39,39,0,102.892,1375.352125,0,1.0
94,47d48d250371cabf0105c90f30f687125ed918d835d4eb87a2d881801c3b5e80,3,67,67,67,0,94.456459,1491.764084,0,1.0
95,eca3f6ba04d63921ba376c5e16b5a464cc2945815c5f6642a246ed7aaec1ff30,0,211,206,206,0,102.619416,180000.051333,1,0.976303317535545
96,99e369e169fea89f1eb8e218aec94d57d6a10fddb6a136bb63c3aa485c44db2d,4,39,39,39,0,153.192125,1381.890042,0,1.0
97,513300c537ab619e70381f4eb1fdbdd47a96b6ba998cc9fbfbdfef0370f7e4de,1,105,105,105,0,100.06225,2874.746667,0,1.0
98,3a7e15fd8c8b6c3e48e824d78d20188d9f4e5d376d341ceae90d8dba6f67ac56,0,211,200,200,0,97.438375,180000.040833,1,0.9478672985781991
99,fc8129d397d2ffbb2038a11dd0f4cea6cf92da7ef663b652e5f7c00114f321df,1,105,105,105,0,152.107667,3437.381125,0,1.0
100,2de827c2fcfe0c5b77e26e79f72b8b6cac21f941e14812fcfdcf0ef2e2ce54d1,2,73,73,73,0,99.568041,1895.775416,0,1.0
101,4331db1807be53794dfdd74a3d2f370204a099b2f31732bcf78cb41acc89615b,2,73,73,73,0,101.634208,1333.052083,0,1.0
102,27e3b72346b1ac16caf6db21e9171e560f077567eddacf274daa082c6abe24a3,0,211,206,206,0,100.079584,180000.049292,1,0.976303317535545
103,8152f2c9293f71783361906f973883c2b2b3eb5107cf8c9f939e008b09b8ee4d,0,211,199,199,0,101.425541,180000.050166,1,0.943127962085308
104,0c323f2b389acb7ca6f665a099c57ecfb723d1f4f2e835825107e6785db41c88,0,211,192,192,0,99.067458,180000.075083,1,0.909952606635071
105,5bdf8dc71f14717038eb59f43533a2c51644e7175c3aa89c06ec820032fb7cb0,3,67,67,67,0,89.773542,1805.143167,0,1.0
106,577504e3bc8310205ec7f3d4d15bbef9afd687f315c62ce3ec98d997c2850d11,2,73,73,73,0,95.561958,1892.423666,0,1.0
107,a7b4c9c3b5343e1d4314f7baff83f2f8e075154b283384db82848f479c02c86e,0,211,204,204,0,82.692458,180000.046291,1,0.966824644549763
108,6335e6e90b689f99909dd09baf0d79c621d8f38aa97d1deb1c7de08ae82534ac,2,73,73,73,0,83.968666,2123.800541,0,1.0
109,bd1b54a66871488b6460e528e3aec9d5598fe080333c38152db833a91babebc6,0,211,201,201,0,228.956791,180000.031416,1,0.95260663507109
110,442e8b55f6582ccca50f4ac54eb90a0bcb2fc3461493b16eefe791dcf54a3f7e,2,73,73,73,0,88.846083,1584.813042,0,1.0
111,0c2d15df213c9b157b461290c5ec8f87c33c34dad8e434bd091a9de98a37289a,0,211,209,209,0,97.79825,180000.064792,1,0.990521327014218
112,e65bcf4249546ee33d1ff1820692df07e83fa0eff1e4006fe19f121ea8f75589,1,105,105,105,0,101.3935,1822.114958,0,1.0
113,24917384b07e3543bba129b54b49eed76ea563ada84687e49fcd8f1f96988e64,0,211,206,206,0,100.339458,180000.144958,1,0.976303317535545
114,4715c9d9aeea9d4b5d90d3fcc5dea9217a1b57dace276910d890b979008be5bd,0,211,203,203,0,100.458708,180000.13575,1,0.9620853080568721
115,eaa8a722b1bfadc61374a386693b29015e891fb81f1bcb871663ec7b9fcea20c,0,211,204,204,0,100.667833,180000.114166,1,0.966824644549763
116,eaebc97bc69437affd2fed22cdc4467cc7f1f809ab910978d51eaa7490b3988d,0,211,204,204,0,99.856583,180000.071708,1,0.966824644549763
117,6eae4610d81b88cee55432979a8029a8a5a095c0c39d75ed600db49ef42cacd5,4,39,39,39,0,99.722334,1258.265792,0,1.0
118,8ce14229b2210d710168f67a548b9e7efb1b1c5d67e1bd25f5e506b8747561bd,0,211,206,206,0,101.706125,180000.096333,1,0.976303317535545
119,953b1515e509b87704e9ce5e7d4a8df42a228662d6c1d0ae4510b82f920aa910,0,211,208,208,0,94.569916,180000.09675,1,0.985781990521327
120,12e97da3941c305e097e64bb93cd3f82c68dddd813c0501968c684601f811b4c,3,67,67,67,0,74.935333,1735.485917,0,1.0
121,3dbebf514789d3bf0f8b2180a14198b36002101ac2a59e07461a74a8c0c181a7,0,211,204,204,0,94.253375,180000.071917,1,0.966824644549763
122,d3ae500510d8dac161b412de613e75dca17d6c0962e77ea0e7b833d50b6473b6,1,105,105,105,0,88.101958,2371.385875,0,1.0
123,748d71391900366d32486b3d12b59a6f98497d59a321e0251e41d669b5652c75,2,73,73,73,0,98.987084,2159.465292,0,1.0
124,1bd13780e3cc779892258eeb3fbf3dd5256a78600113f8ae9b97b9afe809eabb,4,39,39,39,0,100.646,1674.149458,0,1.0
125,934529ea875ba78f7d6e09f0066a6d1f9e6b04463a5f542a81144cdce9b616bd,0,211,190,190,0,89.985291,180000.03575,1,0.9004739336492891
126,7878b48b81cfc661a70f58a1b847081988ec7ad3a6f98c973a7c83159337b52e,0,211,196,196,0,84.933875,180000.069125,1,0.9289099526066351
127,15d3b83e46263e6cba2891a8267f95dc05db82bf3fe3d8ba16b3e28838c9ff76,1,105,105,105,0,82.646083,2543.918625,0,1.0
128,3366291fa9ae9998b101d9b16f35c98c14df313e7c9eee7bb53be74f9e07b498,1,105,105,105,0,77.918167,2585.868917,0,1.0
129,7441a40d261d955c3aa95cf8988dc3c71321e9fdff5a79f2f901d7578b274fe6,0,211,185,185,0,97.065958,180000.049458,1,0.8767772511848341
130,b4f40cd38237d8eeb763be777261e5c11575480991932469bf5aa29efd467be4,0,211,208,208,0,102.248459,180000.047292,1,0.985781990521327
131,c5164e7b55b2d95877312b431bd016b349bf5386228a633675417cdd7753629e,1,105,105,105,0,90.09525,3207.792791,0,1.0
132,1c8b7f44fa5ef70ba8515bacdf1944578d33461da048915ee07493c3ff48d919,0,211,202,202,0,80.230667,180000.022875,1,0.957345971563981
133,ef6bdbe6424c62318fab7821e34f6d74ddc920f6ad2111ffb5d5c1944bacff68,1,105,105,105,0,83.552375,2297.742375,0,1.0
134,d8b894187555fcc821d26de10965a16fa48e2c37a0e7ffe51cddb6ba546833a6,0,211,201,201,0,82.837125,180000.057833,1,0.95260663507109
135,3115c72b6b490b4f2868aa54bdbb65f5b12c4f16a83d7c30770b1a0a8c53b301,0,211,206,206,0,94.268583,180000.051916,1,0.976303317535545
136,8e788f184032d2f4c7f2a064cc0587a0cd1aea88128332c9de928256e9d3173f,0,211,194,194,0,86.754625,180000.0585,1,0.919431279620853
137,fa594c4b77a26a2e0aa8e622f5a13670a7e414302ffff534fbbfd706f9bf47a5,1,105,105,105,0,94.425458,2979.18525,0,1.0
138,cef7918d752657dbe7f073544b41c4c0452d99843cbf12688bd85b774c5b925a,0,211,205,205,0,97.158125,180000.103375,1,0.9715639810426541
139,54a1717fb56d5f773cf202b47d6a0bc4be4a0bf69f3327d7108d275425e50d29,0,211,205,205,0,89.067209,180000.076834,1,0.9715639810426541
140,3bc8940dc2cc7f1136360b27350958b0b29e482f214ce955098d58f5811642aa,0,211,202,202,0,99.77,180000.098584,1,0.957345971563981
141,03fa543f7c43e94613a13fbed8350d7519e454ddb34dac3b149b51e37f2db994,0,211,202,202,0,83.205041,180000.086125,1,0.957345971563981
142,1866705e99b31e9db00d436fc986e93dbcccd04db288a7ce6ab20feda7ff798c,0,211,206,206,0,94.928459,180000.043,1,0.976303317535545
143,6a72f6ce9c08a0a6d8fe905f074babb49e767f6e6b64873763c343fbb232ade5,2,73,73,73,0,88.383541,2061.471125,0,1.0
144,0412dc3dd097d8a36f3dd545a3f7da918c1250cf51203d793ebff6a709f7311e,4,39,39,39,0,83.764209,1010.279167,0,1.0
145,b7e160bce649d32981e8c23943ff23103422caff8f1cb0c93a3ae00499e564cf,4,39,39,39,0,89.132042,1086.976542,0,1.0
146,c7333428f8d0e2cde50132fda742e0c1ae701f65cbb7c6b518e2d50d317146e5,3,67,67,67,0,77.179958,1249.746958,0,1.0
147,e2fecd36f05ff4f7c120d7c8276ce4e338507b2ee3fe2f38f5a596e99e43a6d1,1,105,104,104,0,78.936708,180000.042875,1,0.9904761904761905
148,a749b94e20f8d5d466daa9e9b4267cc5ddb69ce853c085391e09d47c8ea21e07,0,211,188,188,0,79.677917,180000.044917,1,0.8909952606635071
149,360e887bebc4ca4af5a7a732191520d1dfae0de18dc6b92b4b92c81370c1310e,2,73,73,73,0,87.848459,2346.385459,0,1.0
150,b7e4bbdac4af2610e74183a1e2e67748a90de9aea6d2314de286856c0e7bc2ca,1,105,105,105,0,86.00525,3145.792833,0,1.0
151,6450e424f656446a3b112523fa5190302bf6cf960da5d6d7c0f85ec01b984be0,1,105,105,105,0,97.836458,3032.612958,0,1.0
152,6b11a251ec46f5723a2dd8ed90540caf59381ceb968efc850a34c44a7456ba8f,2,73,73,73,0,99.454208,1374.699458,0,1.0
153,b918d8656c172194aade479742e43a37d43f62921eb65f73519c18b83920bb93,1,105,105,105,0,79.735875,3378.572584,0,1.0
154,308ae8f449e5525963af2af30aa5601500dce6ff12363f6626d9cef3c0731e16,1,105,105,105,0,99.987666,2918.661708,0,1.0
155,f675b8247002b43b7f1dfe879a93786a96d42eb4aa76ee27816a2f92c4e9229a,2,73,73,73,0,100.291792,1573.065417,0,1.0
156,6aff9e849262ceffe704a14e6cf1d52ff07df316dc8c93f5e30a8bca7a94c73e,0,211,205,205,0,100.4655,180000.17425,1,0.9715639810426541
157,585f7fd7461c4412cb0b5f56395e18c99617c63ca9303cb119cbe25faa95e8ee,2,73,73,73,0,84.42425,2348.625167,0,1.0
158,8637e737d04ddbe02d4b03a74203067e8688cf4c0ea3744247c837c0dde31258,3,67,66,66,0,100.594125,180000.0825,1,0.9850746268656716
159,c61fb1ccc234a8c0f08ffd7e8d176cb7a58e1a688599f6485c861c47e796e685,0,211,208,208,0,95.740209,180000.0365,1,0.985781990521327
160,1877c83525cdce6a57a2bd0b81f701869191cbd298a4bb5a2233607969f3bf4e,1,105,105,105,0,97.949959,3386.319917,0,1.0
161,1608a08df89e2f630afbf7ccd0a1396275f6da7206b8ddb6ed52ce760f685742,4,39,39,39,0,97.484667,1711.017583,0,1.0
162,362c0ba424d31a5c1c80bf024898f7c3f95538e648d267578d03bcbb0001c344,0,211,199,199,0,99.175917,180000.046625,1,0.943127962085308
163,2aa5a36f0c04cee9854e0b00dbe2ebab1686f77e2d2273a71d40e6f36414eca8,3,67,67,67,0,78.592125,1742.327917,0,1.0
164,4008322244d928938294d75eeb2bfcefbb635ca08e278469f452213beac1804d,1,105,105,105,0,86.613792,2347.66475,0,1.0
165,0b61c612eca86c811274adb3698a55777d8ad3355bddb9f13cb05f98b5451ea9,0,211,205,205,0,85.427958,180000.122375,1,0.9715639810426541
166,0fea7a12ad15de05f7dcc8a502facaf85f34ef50cdb69bbb5f84301e7d3668f3,1,105,104,104,0,94.893417,180000.0805,1,0.9904761904761905
167,1e7aaed0cc8285ce4e4eaf2e2547ec1118cba388eb32ebde4ffa73c39184fcd6,2,73,73,73,0,81.97325,1546.458875,0,1.0
168,73c3fedb02b7fb3ea98ca41257c868429882d197b82be01d6b6f2724dc19c1df,4,39,39,39,0,92.302,1267.930333,0,1.0
169,7e4487ade4ee59ee9b4ec2b033f2db1c76faf8161db1152153419b82ec2aa84f,0,211,200,200,0,98.683,180000.052167,1,0.9478672985781991
170,a4342ed8ff49dae554e01d66237d9fd6681bdc4335e786b22282c4803bfb9c71,1,105,104,104,0,76.782667,180000.077458,1,0.9904761904761905
171,4369e3a0998e979d2d268b2e92dc5f5e3785d490a75f878ac6f54c94f59f5bf5,2,73,73,73,0,88.674875,2043.629875,0,1.0
172,8767805bacd8df6110ddf0d0ee910fc08976e55e048b75c02e9ac934370ed470,0,211,203,203,0,100.3745,180000.065875,1,0.9620853080568721
173,658f25ad4f77406cb8df5a5cd916471867942dfba568a75c5d0cb43d9b27f4ba,4,39,39,39,0,95.240458,778.282792,0,1.0
174,3bcdadca819f9c0cc6e69a5ba46a0c360ab010717f1558489634980b93c94783,0,211,206,206,0,100.585708,180000.09425,1,0.976303317535545
175,4a563c228c37e856ba161149ba6f325258259540a35085b417e2bc118fb62fe1,0,211,206,206,0,101.175083,180000.083541,1,0.976303317535545
176,bec3442b9df6b1d51c117b3721a7743e0fc47872eb2d92502057f36aff212696,3,67,67,67,0,94.586584,2198.896292,0,1.0
177,3bbcbcfdba40d446d5c5606b725dd381f944b21968c5dfdbc9fbc634d773c71e,3,67,67,67,0,86.978,2304.072375,0,1.0
178,e1e78b5b67c3edbf94e4dcfac397e71f02ed1ba7ab4db83a0b326abfa1be7fa8,0,211,201,201,0,100.022959,180000.06825,1,0.95260663507109
179,83d2f40e8311cb1cb22cdb2fe49e6b99a5b04bf8e679d232e3001a67c323be3b,0,211,190,190,0,99.209625,180000.019792,1,0.9004739336492891
180,acb97edb540cd013cd7d761b4ed1ab92277c88762c5c3b2e65f4d871a59fdac7,0,211,208,208,0,99.75225,180000.021167,1,0.985781990521327
181,6cfaf5bda88bec479246c417375059028e4ff1ef5a078dc366024c64d5b5d7cb,0,211,203,203,0,96.04025,180000.023083,1,0.9620853080568721
182,a17b18986a621334ac2a094c33387221bc2ffe450fb9a7ab95a0eaa24e0b6aee,3,67,67,67,0,173.103833,1905.280125,0,1.0
183,74ed8680878ae29b0442adf06e59f6a8364bc7877e479801a5019209eedfc964,1,105,105,105,0,99.906667,3231.6665,0,1.0
184,073adbd7eef3127051beb6f45882e037098ae74930a69c62eaf240a57e30dbf3,0,211,208,208,0,99.822167,180000.017875,1,0.985781990521327
185,1894a3456ea3ca46d9370672b6b04ce82caad1f373e8de15a7db7fc84bf4e6e4,2,73,70,70,0,67.601083,180000.158541,1,0.958904109589041
186,2f4c7c2ca040646243e95685ed95cd47bcc2c9ebc01b1fea0a9b51f3a24dceb6,3,67,67,67,0,76.237084,1489.478167,0,1.0
187,a64f531c5dab786b6b5787ad142f9453b020fcc0af2188d1ccd3adb75908ff0d,2,73,71,71,0,138.837125,180000.031834,1,0.9726027397260274
188,a30146d4fcde073151b6b1ad090cd737f0f976097b5d27fe46059da93c0a8bac,1,105,105,105,0,61.642375,2193.658791,0,1.0
